,2011,2012,2013,2014,2015
China,15870,18750,21520,24770,27560
India,9250,11070,14090,16150,17520
"UK, CIs & IOM",13160,13450,11640,11000,10770
New Zealand,8420,7830,6130,5240,6300
"Korea, South",6130,6210,5650,5560,5610
Nepal,1490,2000,4100,4190,5390
Philippines,4740,4720,4980,4930,5360
USA,4840,5650,4190,4030,4240
Vietnam,2920,3740,3980,3800,4090
Brazil,1340,1440,2150,2720,3930
Thailand,2430,3170,4160,4370,3840
Malaysia,1990,2110,2280,2550,3550
Pakistan,2320,2720,2920,3440,3230
Indonesia,2590,2510,2650,2980,2720
Taiwan,1580,2440,2520,2550,2680
France,2080,2160,2290,2290,2300
Bangladesh,1510,1470,1620,2000,2200
Japan,2160,2100,2120,1960,2170
Germany,1750,1630,1600,1640,2080
