,2011,2012,2013,2014,2015
China,2590,2740,3350,4050,4260
India,1810,2180,2430,2990,3000
"UK, CIs & IOM",3100,2260,1830,1550,1380
Philippines,820,1020,1030,940,860
Malaysia,760,750,770,740,790
Vietnam,470,530,700,660,780
Hong Kong,400,470,610,510,500
Taiwan,500,760,680,590,460
Afghanistan,240,310,800,500,440
USA,510,490,450,390,430
Pakistan,280,390,530,530,410
New Zealand,880,670,460,370,400
Nepal,170,230,280,270,370
Syria,20,10,30,80,350
"Korea, South",580,500,420,380,350
Indonesia,370,290,360,360,340
Brazil,50,100,350,200,330
Sri Lanka,510,390,280,330,300
Iran,350,410,350,360,270
