,2011,2012,2013,2014,2015
India,720,630,80,680,1040
Nepal,240,250,20,290,540
China,1020,670,50,530,500
Philippines,170,130,20,120,320
Vanuatu,20,200,190,370,250
Pakistan,160,150,10,170,240
Sri Lanka,70,80,30,90,230
"UK, CIs & IOM",240,280,70,200,220
Tonga,50,580,190,150,180
New Zealand,130,130,60,120,170
Bangladesh,50,40,0,60,170
PNG,10,20,0,10,160
Vietnam,160,120,10,130,160
Malaysia,120,110,10,90,120
Timor-Leste,0,370,130,80,120
South Africa,90,80,40,80,120
Samoa,0,10,80,450,100
Myanmar,60,30,0,30,100
Taiwan,180,100,0,40,100
