Country,2011,2012,2013,2014,2015
New Zealand,48220,41500,28440,23300,24220
PNG,1640,1580,1270,1240,1490
Fiji,2600,2560,2440,2160,2150
Samoa,2590,3220,2450,2210,2440
UK,50610,46250,37190,33920,32790
Ireland,15820,10570,5800,3970,3750
France,5630,5930,5920,6170,5870
Germany,5190,4850,4600,5060,5610
Netherlands,1970,1890,1660,1770,1880
Sweden,1350,1450,1420,1350,1360
Italy,4030,6160,6310,5540,4820
Spain,1490,1700,1550,1540,1650
Greece,2370,2700,1980,1340,1350
Poland,1330,1410,1340,1380,1380
Russia,1410,1720,1430,1370,1190
Egypt,1360,1950,1520,1360,1510
Iran,4440,5750,4430,3870,3620
Iraq,2730,4390,5510,4640,4070
Lebanon,2080,2130,2060,2120,1770
Saudi Arabia,2750,2800,3210,2810,2520
Turkey,1180,1210,1120,1030,1340
Myanmar,2190,2480,2050,2240,2240
Cambodia,1340,1250,1480,1450,1650
Thailand,5770,6970,8260,8560,8710
Vietnam,8300,11210,12260,10720,11440
Indonesia,6900,6770,6880,7350,7330
Malaysia,11940,11940,11710,13890,19260
Philippines,16910,17010,15890,15780,16430
Singapore,6930,6810,5330,5570,5470
China,40150,46560,53130,62280,70190
Hong Kong,4990,6120,6540,6330,6070
Taiwan,9010,13350,11810,11020,10530
Japan,6320,6330,6180,6230,6690
"Korea, South",14370,14560,12780,12360,12310
Bangladesh,3000,3210,3390,3740,3780
India,30390,35280,45520,49810,52020
Nepal,2790,3980,8140,7270,8800
Pakistan,6190,7320,8240,8570,8220
Sri Lanka,6020,6630,5680,5910,6240
Afghanistan,1790,2690,4560,3100,2950
Canada,5580,5290,4600,4490,4550
USA,15460,14650,11880,11620,11460
Brazil,3050,3250,5450,5810,8010
Chile,1120,1040,1010,1280,1670
Colombia,2260,2540,2570,2910,3890
South Africa,9230,7730,6240,5920,6440
Zimbabwe,1840,1650,1380,1380,1540
